Facility Type,Year,Results,Count,Percentage
Daycare (2 - 6 Years),2017,Fail,28,16.47
Daycare (2 - 6 Years),2017,Pass,137,80.59
Daycare (2 - 6 Years),2017,Pass w/ Conditions,5,2.94
Daycare (2 - 6 Years),2018,Fail,22,15.49
Daycare (2 - 6 Years),2018,Pass,41,28.87
Daycare (2 - 6 Years),2018,Pass w/ Conditions,79,55.63
Daycare (2 - 6 Years),2019,Fail,23,17.29
Daycare (2 - 6 Years),2019,Pass,67,50.38
Daycare (2 - 6 Years),2019,Pass w/ Conditions,43,32.33
Daycare (2 - 6 Years),2020,Fail,19,22.89
Daycare (2 - 6 Years),2020,Pass,56,67.47
Daycare (2 - 6 Years),2020,Pass w/ Conditions,8,9.64
Daycare (2 - 6 Years),2021,Fail,22,20.95
Daycare (2 - 6 Years),2021,Pass,71,67.62
Daycare (2 - 6 Years),2021,Pass w/ Conditions,12,11.43
Daycare (2 - 6 Years),2022,Fail,17,20.48
Daycare (2 - 6 Years),2022,Pass,61,73.49
Daycare (2 - 6 Years),2022,Pass w/ Conditions,5,6.02
Daycare (2 - 6 Years),2023,Fail,44,34.38
Daycare (2 - 6 Years),2023,Pass,80,62.5
Daycare (2 - 6 Years),2023,Pass w/ Conditions,4,3.12
Daycare (2 - 6 Years),2024,Fail,20,19.61
Daycare (2 - 6 Years),2024,Pass,74,72.55
Daycare (2 - 6 Years),2024,Pass w/ Conditions,8,7.84
Daycare (2 - 6 Years),2025,Fail,20,18.69
Daycare (2 - 6 Years),2025,Pass,82,76.64
Daycare (2 - 6 Years),2025,Pass w/ Conditions,5,4.67
Daycare Above and Under 2 Years,2010,Fail,56,22.13
Daycare Above and Under 2 Years,2010,Pass,193,76.28
Daycare Above and Under 2 Years,2010,Pass w/ Conditions,4,1.58
Daycare Above and Under 2 Years,2011,Fail,39,16.32
Daycare Above and Under 2 Years,2011,Pass,191,79.92
Daycare Above and Under 2 Years,2011,Pass w/ Conditions,9,3.77
Daycare Above and Under 2 Years,2012,Fail,45,17.31
Daycare Above and Under 2 Years,2012,Pass,199,76.54
Daycare Above and Under 2 Years,2012,Pass w/ Conditions,16,6.15
Daycare Above and Under 2 Years,2013,Fail,33,21.57
Daycare Above and Under 2 Years,2013,Pass,119,77.78
Daycare Above and Under 2 Years,2013,Pass w/ Conditions,1,0.65
Daycare Above and Under 2 Years,2014,Fail,45,28.48
Daycare Above and Under 2 Years,2014,Pass,99,62.66
Daycare Above and Under 2 Years,2014,Pass w/ Conditions,14,8.86
Daycare Above and Under 2 Years,2015,Fail,31,12.97
Daycare Above and Under 2 Years,2015,Pass,192,80.33
Daycare Above and Under 2 Years,2015,Pass w/ Conditions,16,6.69
Daycare Above and Under 2 Years,2016,Fail,46,18.4
Daycare Above and Under 2 Years,2016,Pass,188,75.2
Daycare Above and Under 2 Years,2016,Pass w/ Conditions,16,6.4
Daycare Above and Under 2 Years,2017,Fail,52,19.62
Daycare Above and Under 2 Years,2017,Pass,201,75.85
Daycare Above and Under 2 Years,2017,Pass w/ Conditions,12,4.53
Daycare Above and Under 2 Years,2018,Fail,30,13.1
